,Cell_ID,material,Â÷¼ö,position,OL.Thickness
1,BCM01,material_a,1,1,27.3
2,BCM01,material_a,1,2,31.5
3,BCM01,material_a,1,3,45.9
4,BCM01,material_a,1,4,21.2
5,BCM01,material_a,1,5,36.6
6,BCM01,material_a,1,6,34.5
7,BCM01,material_a,1,7,9.9
8,BCM01,material_a,1,8,25.3
9,BCM01,material_a,1,9,23.2
10,BCM01,material_a,1,10,17.1
11,BCM01,material_a,1,11,20.1
12,BCM01,material_a,1,12,18.1
13,BCM01,material_a,1,13,21.2
14,BCM01,material_a,1,14,16
15,BCM01,material_a,1,15,34.5
16,BCM01,material_a,1,16,19.1
17,BCM01,material_a,1,17,20.1
18,BCM01,material_a,1,18,12.9
19,BCM01,material_a,1,19,15
20,BCM01,material_a,1,20,12.9
21,BCM01,material_a,1,21,23.2
22,BCM01,material_a,1,22,20.1
23,BCM01,material_a,1,23,8.8
24,BCM01,material_a,1,24,21.2
25,BCM01,material_a,1,25,13.5
26,BCM01,material_b,1,0,22
27,BCM01,material_b,1,5,26
28,BCM01,material_b,1,10,40
29,BCM01,material_b,1,15,16
30,BCM01,material_b,1,20,31
31,BCM01,material_b,1,25,29
51,BCM02,material_a,1,1,20.1
52,BCM02,material_a,1,2,22.1
53,BCM02,material_a,1,3,25.7
54,BCM02,material_a,1,4,27.9
55,BCM02,material_a,1,5,27.3
56,BCM02,material_a,1,6,30.1
57,BCM02,material_a,1,7,23.2
58,BCM02,material_a,1,8,28.9
59,BCM02,material_a,1,9,26.8
60,BCM02,material_a,1,1,29.5
61,BCM02,material_a,1,2,29.4
62,BCM02,material_a,1,3,25.8
63,BCM02,material_a,1,4,23.3
64,BCM02,material_a,1,5,32.7
65,BCM02,material_a,1,6,18.1
66,BCM02,material_a,1,7,20.1
67,BCM02,material_a,1,8,24
68,BCM02,material_a,1,9,22.7
69,BCM02,material_a,1,10,28.3
70,BCM02,material_a,1,11,22.8
71,BCM02,material_a,1,12,26.7
72,BCM02,material_b,1,0,12
73,BCM02,material_b,1,5,3
74,BCM02,material_b,1,10,4
75,BCM02,material_b,1,15,9
76,BCM02,material_b,1,20,5
77,BCM02,material_b,1,25,21
97,BCM05,material_a,1,1,24.6
98,BCM05,material_a,1,2,26.3
99,BCM05,material_a,1,3,14.8
100,BCM05,material_a,1,4,21.3
101,BCM05,material_a,1,5,18.2
102,BCM05,material_a,1,6,19.4
114,BCM05,material_b,1,0,0
115,BCM05,material_b,1,5,0.1
116,BCM05,material_b,1,10,0
117,BCM05,material_b,1,15,0
118,BCM05,material_b,1,20,0
119,BCM05,material_b,1,25,0
139,BCM06,material_a,1,1,24
140,BCM06,material_a,1,2,21
141,BCM06,material_a,1,3,25
142,BCM06,material_a,1,4,14
143,BCM06,material_a,1,5,17
144,BCM06,material_a,1,6,30
145,BCM06,material_a,1,7,20
146,BCM06,material_a,1,8,22
147,BCM06,material_a,1,9,30
148,BCM06,material_a,1,10,12
149,BCM06,material_a,1,11,11
150,BCM06,material_a,1,12,6
151,BCM06,material_a,1,13,4
152,BCM06,material_a,1,14,2.5
153,BCM06,material_a,1,15,2
154,BCM06,material_a,1,16,3
155,BCM06,material_a,1,17,10
156,BCM06,material_a,1,18,12
157,BCM06,material_a,1,19,12
158,BCM06,material_a,1,20,28
159,BCM06,material_a,1,21,21
160,BCM06,material_a,1,22,21
161,BCM06,material_a,1,23,23
162,BCM06,material_a,1,24,21
163,BCM06,material_a,1,25,26
164,BCM10,material_b,1,0,18
165,BCM10,material_b,1,5,13
166,BCM10,material_b,1,10,7
167,BCM10,material_b,1,15,8
168,BCM10,material_b,1,20,7
169,BCM10,material_b,1,25,5
180,BCM11,material_b,1,5,10
181,BCM11,material_b,1,10,43
182,BCM11,material_b,1,15,8
183,BCM11,material_b,1,20,42
184,BCM11,material_b,1,25,41
186,BCPUB1,material_a,1,0,12
187,BCPUB1,material_a,1,5,14
188,BCPUB1,material_a,1,10,25
189,BCPUB1,material_a,1,15,27
190,BCPUB1,material_a,1,20,19
191,BCPUB1,material_a,1,25,19
208,BYM01,material_a,1,0,35.6
209,BYM01,material_a,1,5,34
210,BYM01,material_a,1,10,28.4
211,BYM01,material_a,1,15,23.5
212,BYM01,material_a,1,20,32.7
213,BYM01,material_a,1,25,27.3
229,BYM01,material_b,1,0,5
230,BYM01,material_b,1,5,3
231,BYM01,material_b,1,10,12
232,BYM01,material_b,1,15,16
233,BYM01,material_b,1,20,3
234,BYM01,material_b,1,25,15
254,BYM02,material_a,1,0,33.5
255,BYM02,material_a,1,5,29.4
256,BYM02,material_a,1,10,33.5
257,BYM02,material_a,1,15,23.2
258,BYM02,material_a,1,20,31.5
259,BYM02,material_a,1,25,27.9
275,BYM02,material_b,1,0,6.5
276,BYM02,material_b,1,5,0.5
277,BYM02,material_b,1,10,1
278,BYM02,material_b,1,15,2.5
279,BYM02,material_b,1,20,0
280,BYM02,material_b,1,25,3.5
300,BYM03,material_a,1,0,25.1
301,BYM03,material_a,1,5,26.3
302,BYM03,material_a,1,10,22.2
303,BYM03,material_a,1,15,32.5
304,BYM03,material_a,1,20,46.7
305,BYM03,material_a,1,25,35.6
321,BYM03,material_b,1,0,1.5
322,BYM03,material_b,1,5,2
323,BYM03,material_b,1,10,3
324,BYM03,material_b,1,15,10
325,BYM03,material_b,1,20,10.5
326,BYM03,material_b,1,25,8
346,BYM04,material_a,1,1,62.1
347,BYM04,material_a,1,2,52.4
348,BYM04,material_a,1,3,51.6
349,BYM04,material_a,1,4,49.7
350,BYM04,material_a,1,5,47.5
351,BYM04,material_a,1,6,47.2
352,BYM04,material_a,1,7,43.1
367,BYM04,material_b,1,0,23
368,BYM04,material_b,1,5,35
369,BYM04,material_b,1,10,10
370,BYM04,material_b,1,15,5
371,BYM04,material_b,1,20,7
372,BYM04,material_b,1,25,6
392,BYM05,material_a,1,1,46.9
393,BYM05,material_a,1,2,46.2
394,BYM05,material_a,1,3,45.9
395,BYM05,material_a,1,5,45.3
396,BYM05,material_a,1,6,39.8
412,BYM05,material_b,1,0,26
413,BYM05,material_b,1,5,13
414,BYM05,material_b,1,10,12
415,BYM05,material_b,1,15,24
416,BYM05,material_b,1,20,21
417,BYM05,material_b,1,25,14
437,BYM07,material_a,1,1,40.2
438,BYM07,material_a,1,2,37.6
439,BYM07,material_a,1,3,36.6
440,BYM07,material_a,1,4,35.6
441,BYM07,material_a,1,5,35.1
442,BYM07,material_a,1,6,34.5
443,BYM07,material_a,1,7,34.4
444,BYM07,material_a,1,8,33.2
445,BYM07,material_a,1,9,32.7
446,BYM07,material_a,1,10,31.2
447,BYM07,material_a,1,11,31.1
448,BYM07,material_a,1,12,29.9
467,BYM07,material_b,1,0,0.2
468,BYM07,material_b,1,5,0.3
469,BYM07,material_b,1,10,4
470,BYM07,material_b,1,15,1
471,BYM07,material_b,1,20,6
472,BYM07,material_b,1,25,5
