ito_thickness,ito_pressure,anneal,contact_angle
70,0.3,As depo,79.59
70,0.3,As depo,78.31
70,0.3,As depo,77.36
70,0.3,Curing,72.95
70,0.3,Curing,73.53
70,0.3,Curing,71.48
115,0.67,As depo,77.51
115,0.67,As depo,79.74
115,0.67,As depo,78.61
115,0.67,Curing,72.05
115,0.67,Curing,71.73
115,0.67,Curing,71.48
115,0.67,Curing,76.11
115,0.67,Curing,75.26
115,0.67,Curing,74.58
115,0.3,As depo,76.67
115,0.3,As depo,75.48
115,0.3,As depo,76.41
115,0.3,Curing,76.59
115,0.3,Curing,75.19
115,0.3,Curing,74.76
115,0.3,Curing,73.19
115,0.3,Curing,71.94
115,0.3,Curing,72.18
